name,symbol,contract_addresses
Dopex,DPX,"[{'platform': 'arbitrum-one', 'contract_address': '0x6c2c06790b3e3e3c38e12ee22f8183b37a13ee55'}, {'platform': 'ethereum', 'contract_address': '0xeec2be5c91ae7f8a338e1e5f3b5de49d07afdc81'}]"
SUN,SUN,"[{'platform': 'ethereum', 'contract_address': '0x7cc61e3ae6360e923e9296c802382ec7c9dd3652'}]"
Rally,RLY,"[{'platform': 'ethereum', 'contract_address': '0xf1f955016ecbcd7321c7266bccfb96c68ea5e49b'}]"
Selfkey,KEY,"[{'platform': 'ethereum', 'contract_address': '0x4cc19356f2d37338b9802aa8e8fc58b0373296e7'}]"
Unizen,ZCX,"[{'platform': 'ethereum', 'contract_address': '0xc52c326331e9ce41f04484d3b5e5648158028804'}]"
Dawn,DAWN,"[{'platform': 'ethereum', 'contract_address': '0x580c8520deda0a441522aeae0f9f7a5f29629afa'}]"
Meter,MTRG,"[{'platform': 'binance-smart-chain', 'contract_address': '0xbd2949f67dcdc549c6ebe98696449fa79d988a9f'}]"
A Hunters Dream,caw,"[{'platform': 'ethereum', 'contract_address': '0xf3b9569f82b18aef890de263b84189bd33ebe452'}]"
Perpetual Protocol,PERP,"[{'platform': 'ethereum', 'contract_address': '0xbc396689893d065f41bc2c6ecbee5e0085233447'}, {'platform': 'arbitrum-one', 'contract_address': '0x753d224bcf9aafacd81558c32341416df61d3dac'}, {'platform': 'binance-smart-chain', 'contract_address': '0x4e7f408be2d4e9d60f49a64b89bb619c84c7c6f5'}, {'platform': 'optimistic-ethereum', 'contract_address': '0x9e1028f5f1d5ede59748ffcee5532509976840e0'}]"
Aavegotchi,GHST,"[{'platform': 'ethereum', 'contract_address': '0x3f382dbd960e3a9bbceae22651e88158d2791550'}, {'platform': 'polygon-pos', 'contract_address': '0x385eeac5cb85a38a9a07a70c73e0a3271cfb54a7'}]"
BoringDAO [OLD],BOR,"[{'platform': 'ethereum', 'contract_address': '0x3c9d6c1c73b31c837832c72e04d3152f051fc1a9'}, {'platform': 'binance-smart-chain', 'contract_address': '0x92d7756c60dcfd4c689290e8a9f4d263b3b32241'}]"
Velas,VLX,"[{'platform': 'ethereum', 'contract_address': '0x8c543aed163909142695f2d2acd0d55791a9edb9'}, {'platform': 'binance-smart-chain', 'contract_address': '0xe9c803f48dffe50180bd5b01dc04da939e3445fc'}]"
SuperFarm,SUPER,"[{'platform': 'binance-smart-chain', 'contract_address': '0x51ba0b044d96c3abfca52b64d733603ccc4f0d4d'}, {'platform': 'ethereum', 'contract_address': '0xe53ec727dbdeb9e2d5456c3be40cff031ab40a55'}, {'platform': 'polygon-pos', 'contract_address': '0xa1428174f516f527fafdd146b883bb4428682737'}]"
Aura BAL,aurabal,"[{'platform': 'ethereum', 'contract_address': '0x616e8bfa43f920657b3497dbf40d6b1a02d4608d'}]"
Strike,STRK,"[{'platform': 'ethereum', 'contract_address': '0x74232704659ef37c08995e386a2e26cc27a8d7b1'}]"
Loom Network (OLD),LOOMOLD,"[{'platform': 'ethereum', 'contract_address': '0xa4e8c3ec456107ea67d3075bf9e3df3a75823db0'}]"
Cybereits,CRE,"[{'platform': 'ethereum', 'contract_address': '0x61f33da40594cec1e3dc900faf99f861d01e2e7d'}]"
