name,symbol,contract_addresses
Arbitrum,ARB,"[{'platform': 'ethereum', 'contract_address': '0xb50721bcf8d664c30412cfbc6cf7a15145234ad1'}, {'platform': 'arbitrum-one', 'contract_address': '0x912ce59144191c1204e64559fe8253a0e49e6548'}]"
The Graph,GRT,"[{'platform': 'polygon-pos', 'contract_address': '0x5fe2b58c013d7601147dcdd68c143a77499f5531'}, {'platform': 'arbitrum-one', 'contract_address': '0x9623063377ad1b27544c965ccd7342f7ea7e88c7'}, {'platform': 'ethereum', 'contract_address': '0xc944e90c64b2c07662a292be6244bdf05cda44a7'}]"
The Sandbox,SAND,"[{'platform': 'ethereum', 'contract_address': '0x3845badade8e6dff049820680d1f14bd3903a5d0'}, {'platform': 'polygon-pos', 'contract_address': '0xbbba073c31bf03b8acf7c28ef0738decf3695683'}]"
Aave,AAVE,"[{'platform': 'binance-smart-chain', 'contract_address': '0xfb6115445bff7b52feb98650c87f44907e58f802'}, {'platform': 'optimistic-ethereum', 'contract_address': '0x76fb31fb4af56892a25e32cfc43de717950c9278'}, {'platform': 'ethereum', 'contract_address': '0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9'}, {'platform': 'polygon-pos', 'contract_address': '0xd6df932a45c0f255f85145f286ea0b292b21c90b'}]"
Decentraland,MANA,"[{'platform': 'ethereum', 'contract_address': '0x0f5d2fb29fb7d3cfee444a200298f468908cc942'}, {'platform': 'polygon-pos', 'contract_address': '0xa1c57f48f0deb89f569dfbe6e2b7f46d33606fd4'}]"
FRAX,FRAX,"[{'platform': 'polygon-pos', 'contract_address': '0x45c32fa6df82ead1e2ef74d17b76547eddfaff89'}, {'platform': 'ethereum', 'contract_address': '0x853d955acef822db058eb8505911ed77f175b99e'}, {'platform': 'optimistic-ethereum', 'contract_address': '0x2e3d870790dc77a83dd1d18184acc7439a53f475'}, {'platform': 'arbitrum-one', 'contract_address': '0x17fc002b466eec40dae837fc4be5c67993ddbd6f'}, {'platform': 'binance-smart-chain', 'contract_address': '0x90c97f71e18723b0cf0dfa30ee176ab653e89f40'}]"
Axie Infinity,AXS,"[{'platform': 'ethereum', 'contract_address': '0xbb0e17ef65f82ab018d8edd776e8dd940327b28b'}, {'platform': 'binance-smart-chain', 'contract_address': '0x715d400f88c167884bbcc41c5fea407ed4d2f8a0'}]"
Immutable X,IMX,"[{'platform': 'ethereum', 'contract_address': '0xf57e7e7c23978c3caec3c3548e3d615c346e79ff'}]"
Rocket Pool,RPL,"[{'platform': 'ethereum', 'contract_address': '0xd33526068d116ce69f19a9ee46f0bd304f21a51f'}]"
Fetch.ai,FET,"[{'platform': 'ethereum', 'contract_address': '0xaea46a60368a7bd060eec7df8cba43b7ef41ad85'}, {'platform': 'binance-smart-chain', 'contract_address': '0x031b41e504677879370e9dbcf937283a8691fa7f'}]"
WOO Network,WOO,"[{'platform': 'arbitrum-one', 'contract_address': '0xcafcd85d8ca7ad1e1c6f82f651fa15e33aefd07b'}, {'platform': 'ethereum', 'contract_address': '0x4691937a7508860f876c9c0a2a617e7d9e945d4b'}, {'platform': 'polygon-pos', 'contract_address': '0x1b815d120b3ef02039ee11dc2d33de7aa4a8c603'}, {'platform': 'binance-smart-chain', 'contract_address': '0x4691937a7508860f876c9c0a2a617e7d9e945d4b'}]"
Nexus Mutual,NXM,"[{'platform': 'ethereum', 'contract_address': '0xd7c49cee7e9188cca6ad8ff264c1da2e69d4cf3b'}]"
Holo,HOT,"[{'platform': 'ethereum', 'contract_address': '0x6c6ee5e31d828de241282b9606c8e98ea48526e2'}]"
DeFiChain,DFI,"[{'platform': 'ethereum', 'contract_address': '0x8fc8f8269ebca376d046ce292dc7eac40c8d358a'}, {'platform': 'binance-smart-chain', 'contract_address': '0x361c60b7c2828fcab80988d00d1d542c83387b50'}]"
Ethereum Name Service,ENS,"[{'platform': 'ethereum', 'contract_address': '0xc18360217d8f7ab5e7c516566761ea12ce7f9d72'}]"
FLOKI,floki,"[{'platform': 'ethereum', 'contract_address': '0xcf0c122c6b73ff809c693db761e7baebe62b6a2e'}, {'platform': 'binance-smart-chain', 'contract_address': '0xfb5b838b6cfeedc2873ab27866079ac55363d37e'}]"
Gala,GALA,"[{'platform': 'ethereum', 'contract_address': '0x15d4c048f83bd7e37d49ea4c83a07267ec4203da'}]"
